20260703T,720.75,720.75,720.75,720.75,0
20260706T,726.04,726.04,726.04,726.04,0
20260707T,723.79,723.79,723.79,723.79,0
20260708T,722.16,722.16,722.16,722.16,0
20260709T,722.0,722.0,722.0,722.0,0
20260710T,723.49,723.49,723.49,723.49,0
20260713T,723.69,723.69,723.69,723.69,0
20260714T,721.95,721.95,721.95,721.95,0
20260715T,722.41,722.41,722.41,722.41,0
20260716T,718.12,718.12,718.12,718.12,0
20260717T,717.3,717.3,717.3,717.3,0
20260720T,713.04,713.04,713.04,713.04,0
20260721T,714.88,714.88,714.88,714.88,0
20260722T,714.92,714.92,714.92,714.92,0
20260723T,713.0,713.0,713.0,713.0,0
