20260703T,700.0,700.0,700.0,700.0,0
20260706T,695.0,695.0,695.0,695.0,0
20260707T,700.0,700.0,700.0,700.0,0
20260708T,700.0,700.0,700.0,700.0,0
20260709T,705.0,705.0,705.0,705.0,0
20260710T,700.0,700.0,700.0,700.0,0
20260713T,700.0,700.0,700.0,700.0,0
20260714T,700.0,700.0,700.0,700.0,0
20260715T,715.0,715.0,715.0,715.0,0
20260716T,700.0,700.0,700.0,700.0,0
20260717T,700.0,700.0,700.0,700.0,0
20260720T,690.0,690.0,690.0,690.0,0
20260721T,690.0,690.0,690.0,690.0,0
20260722T,690.0,690.0,690.0,690.0,0
20260723T,695.0,695.0,695.0,695.0,0
20260724T,680.0,680.0,680.0,680.0,0
20260727T,660.0,660.0,660.0,660.0,0
20260728T,680.0,680.0,680.0,680.0,0
20260729T,650.0,650.0,650.0,650.0,0
20260730T,660.0,660.0,660.0,660.0,0
20260731T,660.0,660.0,660.0,660.0,0
20260803T,680.0,680.0,680.0,680.0,0
20260804T,690.0,690.0,690.0,690.0,0
20260805T,690.0,690.0,690.0,690.0,0
20260806T,718.0,718.0,718.0,718.0,0
20260807T,690.0,690.0,690.0,690.0,0
20260810T,690.0,690.0,690.0,690.0,0
20260811T,715.0,715.0,715.0,715.0,0
20260812T,715.0,715.0,715.0,715.0,0
20260813T,715.0,715.0,715.0,715.0,0
20260814T,700.0,700.0,700.0,700.0,0
20260817T,720.0,720.0,720.0,720.0,0
20260818T,718.0,718.0,718.0,718.0,0
20260819T,715.0,715.0,715.0,715.0,0
20260820T,710.0,710.0,710.0,710.0,0
20260821T,700.0,700.0,700.0,700.0,0
20260824T,705.0,705.0,705.0,705.0,0
20260825T,680.0,680.0,680.0,680.0,0
20260826T,680.0,680.0,680.0,680.0,0
20260827T,705.0,705.0,705.0,705.0,0
20260828T,700.0,700.0,700.0,700.0,0
20260829T,700.0,700.0,700.0,700.0,0
20260831T,705.0,705.0,705.0,705.0,0
20260901T,700.0,700.0,700.0,700.0,0
20260902T,705.0,705.0,705.0,705.0,0
20260903T,690.0,690.0,690.0,690.0,0
