20260703T,400.0,400.0,400.0,400.0,0
20260706T,400.0,400.0,400.0,400.0,0
20260707T,380.0,380.0,380.0,380.0,0
20260708T,375.0,375.0,375.0,375.0,0
20260709T,380.0,380.0,380.0,380.0,0
20260710T,380.0,380.0,380.0,380.0,0
20260713T,380.0,380.0,380.0,380.0,0
20260714T,380.0,380.0,380.0,380.0,0
20260715T,375.0,375.0,375.0,375.0,0
20260716T,375.0,375.0,375.0,375.0,0
20260717T,368.0,368.0,368.0,368.0,0
20260720T,380.0,380.0,380.0,380.0,0
20260721T,380.0,380.0,380.0,380.0,0
20260722T,380.0,380.0,380.0,380.0,0
20260723T,375.0,375.0,375.0,375.0,0
