20260703T,745.0,745.0,745.0,745.0,0
20260706T,750.0,750.0,750.0,750.0,0
20260707T,750.0,750.0,750.0,750.0,0
20260708T,745.0,745.0,745.0,745.0,0
20260709T,752.0,752.0,752.0,752.0,0
20260710T,755.0,755.0,755.0,755.0,0
20260713T,750.0,750.0,750.0,750.0,0
20260714T,752.0,752.0,752.0,752.0,0
20260715T,755.0,755.0,755.0,755.0,0
20260716T,750.0,750.0,750.0,750.0,0
20260717T,743.0,743.0,743.0,743.0,0
20260720T,742.0,742.0,742.0,742.0,0
20260721T,748.0,748.0,748.0,748.0,0
20260722T,750.0,750.0,750.0,750.0,0
