20260703T,740.0,740.0,740.0,740.0,0
20260706T,740.0,740.0,740.0,740.0,0
20260707T,740.0,740.0,740.0,740.0,0
20260708T,740.0,740.0,740.0,740.0,0
20260709T,740.0,740.0,740.0,740.0,0
20260710T,740.0,740.0,740.0,740.0,0
20260713T,749.0,749.0,749.0,749.0,0
20260714T,740.0,740.0,740.0,740.0,0
20260715T,740.0,740.0,740.0,740.0,0
20260716T,740.0,740.0,740.0,740.0,0
20260717T,743.0,743.0,743.0,743.0,0
20260720T,740.0,740.0,740.0,740.0,0
20260721T,740.0,740.0,740.0,740.0,0
20260722T,740.0,740.0,740.0,740.0,0
20260723T,740.0,740.0,740.0,740.0,0
