20260703T,385.84,385.84,385.84,385.84,0
20260706T,386.89,386.89,386.89,386.89,0
20260707T,384.76,384.76,384.76,384.76,0
20260708T,385.74,385.74,385.74,385.74,0
20260709T,381.54,381.54,381.54,381.54,0
20260710T,384.38,384.38,384.38,384.38,0
20260713T,381.9,381.9,381.9,381.9,0
20260714T,378.88,378.88,378.88,378.88,0
20260715T,378.37,378.37,378.37,378.37,0
20260716T,374.56,374.56,374.56,374.56,0
20260717T,377.51,377.51,377.51,377.51,0
20260720T,377.2,377.2,377.2,377.2,0
20260721T,374.88,374.88,374.88,374.88,0
20260722T,375.2,375.2,375.2,375.2,0
