20260703T,379.0,379.0,379.0,379.0,0
20260706T,382.0,382.0,382.0,382.0,0
20260707T,381.0,381.0,381.0,381.0,0
20260708T,383.0,383.0,383.0,383.0,0
20260709T,383.0,383.0,383.0,383.0,0
20260710T,377.0,377.0,377.0,377.0,0
20260713T,381.0,381.0,381.0,381.0,0
20260714T,381.0,381.0,381.0,381.0,0
20260715T,372.0,372.0,372.0,372.0,0
20260716T,381.0,381.0,381.0,381.0,0
20260717T,385.0,385.0,385.0,385.0,0
20260720T,368.0,368.0,368.0,368.0,0
20260721T,378.0,378.0,378.0,378.0,0
20260722T,378.0,378.0,378.0,378.0,0
20260723T,385.0,385.0,385.0,385.0,0
20260724T,385.0,385.0,385.0,385.0,0
20260727T,392.0,392.0,392.0,392.0,0
20260728T,376.0,376.0,376.0,376.0,0
20260729T,376.0,376.0,376.0,376.0,0
20260730T,381.0,381.0,381.0,381.0,0
20260731T,373.0,373.0,373.0,373.0,0
20260803T,373.0,373.0,373.0,373.0,0
20260804T,392.0,392.0,392.0,392.0,0
20260805T,390.0,390.0,390.0,390.0,0
20260806T,390.0,390.0,390.0,390.0,0
20260807T,410.0,410.0,410.0,410.0,0
20260810T,410.0,410.0,410.0,410.0,0
20260811T,420.0,420.0,420.0,420.0,0
20260812T,420.0,420.0,420.0,420.0,0
20260813T,410.0,410.0,410.0,410.0,0
20260814T,420.0,420.0,420.0,420.0,0
20260817T,410.0,410.0,410.0,410.0,0
20260818T,415.0,415.0,415.0,415.0,0
20260819T,415.0,415.0,415.0,415.0,0
20260820T,425.0,425.0,425.0,425.0,0
20260821T,420.0,420.0,420.0,420.0,0
20260824T,420.0,420.0,420.0,420.0,0
