20260703T,40.09,40.09,40.09,40.09,0
20260706T,53.2,53.2,53.2,53.2,0
20260707T,37.11,37.11,37.11,37.11,0
20260708T,44.43,44.43,44.43,44.43,0
20260709T,53.79,53.79,53.79,53.79,0
20260710T,50.19,50.19,50.19,50.19,0
20260713T,37.89,37.89,37.89,37.89,0
20260714T,56.58,56.58,56.58,56.58,0
20260715T,45.07,45.07,45.07,45.07,0
20260716T,33.64,33.64,33.64,33.64,0
20260717T,23.75,23.75,23.75,23.75,0
20260720T,35.92,35.92,35.92,35.92,0
20260721T,48.82,48.82,48.82,48.82,0
20260722T,42.11,42.11,42.11,42.11,0
20260723T,30.01,30.01,30.01,30.01,0
20260724T,23.86,23.86,23.86,23.86,0
20260727T,31.41,31.41,31.41,31.41,0
20260728T,29.01,29.01,29.01,29.01,0
20260729T,25.63,25.63,25.63,25.63,0
20260730T,48.04,48.04,48.04,48.04,0
20260731T,49.37,49.37,49.37,49.37,0
20260803T,60.48,60.48,60.48,60.48,0
20260804T,63.14,63.14,63.14,63.14,0
20260805T,57.54,57.54,57.54,57.54,0
20260806T,53.4,53.4,53.4,53.4,0
20260807T,60.69,60.69,60.69,60.69,0
20260810T,56.48,56.48,56.48,56.48,0
20260811T,51.12,51.12,51.12,51.12,0
20260812T,64.13,64.13,64.13,64.13,0
20260813T,69.23,69.23,69.23,69.23,0
20260814T,56.27,56.27,56.27,56.27,0
20260817T,60.01,60.01,60.01,60.01,0
20260818T,43.9,43.9,43.9,43.9,0
20260819T,45.48,45.48,45.48,45.48,0
20260820T,40.89,40.89,40.89,40.89,0
20260821T,48.07,48.07,48.07,48.07,0
20260824T,41.32,41.32,41.32,41.32,0
20260825T,49.7,49.7,49.7,49.7,0
20260826T,52.43,52.43,52.43,52.43,0
20260827T,62.83,62.83,62.83,62.83,0
