20260703T,745.26,745.26,745.26,745.26,0
20260706T,747.7,747.7,747.7,747.7,0
20260707T,748.16,748.16,748.16,748.16,0
20260708T,747.19,747.19,747.19,747.19,0
20260709T,747.81,747.81,747.81,747.81,0
20260710T,750.06,750.06,750.06,750.06,0
20260713T,750.8,750.8,750.8,750.8,0
20260714T,750.88,750.88,750.88,750.88,0
20260715T,751.96,751.96,751.96,751.96,0
20260716T,751.86,751.86,751.86,751.86,0
20260717T,750.94,750.94,750.94,750.94,0
20260720T,749.37,749.37,749.37,749.37,0
20260721T,749.89,749.89,749.89,749.89,0
20260722T,750.63,750.63,750.63,750.63,0
20260723T,748.31,748.31,748.31,748.31,0
20260724T,747.22,747.22,747.22,747.22,0
20260727T,747.89,747.89,747.89,747.89,0
20260728T,747.43,747.43,747.43,747.43,0
20260729T,748.0,748.0,748.0,748.0,0
20260730T,746.47,746.47,746.47,746.47,0
20260731T,745.23,745.23,745.23,745.23,0
20260803T,747.53,747.53,747.53,747.53,0
20260804T,756.65,756.65,756.65,756.65,0
20260805T,763.17,763.17,763.17,763.17,0
20260806T,765.97,765.97,765.97,765.97,0
20260807T,767.05,767.05,767.05,767.05,0
20260810T,765.45,765.45,765.45,765.45,0
20260811T,767.5,767.5,767.5,767.5,0
20260812T,769.25,769.25,769.25,769.25,0
20260813T,769.46,769.46,769.46,769.46,0
20260814T,771.27,771.27,771.27,771.27,0
20260817T,773.08,773.08,773.08,773.08,0
20260818T,770.7,770.7,770.7,770.7,0
20260819T,769.69,769.69,769.69,769.69,0
20260820T,768.45,768.45,768.45,768.45,0
20260821T,767.13,767.13,767.13,767.13,0
20260824T,768.04,768.04,768.04,768.04,0
20260825T,767.87,767.87,767.87,767.87,0
20260826T,769.11,769.11,769.11,769.11,0
20260827T,768.02,768.02,768.02,768.02,0
20260828T,770.09,770.09,770.09,770.09,0
20260829T,770.44,770.44,770.44,770.44,0
20260831T,771.21,771.21,771.21,771.21,0
20260901T,768.39,768.39,768.39,768.39,0
20260902T,767.33,767.33,767.33,767.33,0
20260903T,769.46,769.46,769.46,769.46,0
20260904T,771.44,771.44,771.44,771.44,0
